Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Centrum,52.375950000000046,4.89915000000002,Omelegg - City Centre,52.37606,4.899802,Breakfast Spot
Centrum,52.375950000000046,4.89915000000002,De Koffieschenkerij,52.37404292238903,4.898427170724094,Coffee Shop
Centrum,52.375950000000046,4.89915000000002,Vermeer,52.376668800320914,4.90045354006153,French Restaurant
Centrum,52.375950000000046,4.89915000000002,Brouwerij de Prael,52.37559118730921,4.899345955369931,Brewery
Centrum,52.375950000000046,4.89915000000002,Cannibale Royale,52.37503133828516,4.898690115430672,Burger Joint
Centrum,52.375950000000046,4.89915000000002,Het Elfde Gebod,52.37624700402115,4.900248022521115,Pub
Centrum,52.375950000000046,4.89915000000002,Basiliek van de Heilige Nicolaas (Nicolaaskerk),52.37666867672014,4.900950224095353,Church
Centrum,52.375950000000046,4.89915000000002,420 Café,52.37595263871259,4.895925214375675,Marijuana Dispensary
Centrum,52.375950000000046,4.89915000000002,Museum Ons' Lieve Heer op Solder,52.375144,4.899414,Museum
Centrum,52.375950000000046,4.89915000000002,Amsterdams Kaashuis,52.37705867488253,4.896949471390819,Cheese Shop
Centrum,52.375950000000046,4.89915000000002,Red Light Radio,52.37462597115612,4.8978403747170765,Music Venue
Centrum,52.375950000000046,4.89915000000002,Café 't Mandje,52.374843562035146,4.9008776663156235,Gay Bar
Centrum,52.375950000000046,4.89915000000002,In de Olofspoort,52.37635244040225,4.899781013200405,Bar
Centrum,52.375950000000046,4.89915000000002,art'otel,52.37764,4.89716,Hotel
Centrum,52.375950000000046,4.89915000000002,Tony’s Chocolonely Super Store,52.375589333001614,4.8968016252617526,Chocolate Shop
Centrum,52.375950000000046,4.89915000000002,Mauro Mansion,52.37589828780379,4.90231512602246,Hotel
Centrum,52.375950000000046,4.89915000000002,Quartier Putain,52.3744749435854,4.898771673778137,Coffee Shop
Centrum,52.375950000000046,4.89915000000002,De Bakkerswinkel,52.37504681641035,4.897911074446082,Bakery
Centrum,52.375950000000046,4.89915000000002,Café ZILT,52.37523375502399,4.90106246684449,Whisky Bar
Centrum,52.375950000000046,4.89915000000002,Kokopelli,52.37613614730788,4.899214286630794,Smoke Shop
Noord,52.38150092518048,4.916137875513465,Kop van Java-eiland,52.379522361919264,4.918753164232417,Scenic Lookout
Noord,52.38150092518048,4.916137875513465,Jumbo Foodmarkt,52.383126005939026,4.919943909081107,Supermarket
Noord,52.38150092518048,4.916137875513465,Restaurant Stork,52.38217574223757,4.920325240631022,Seafood Restaurant
Noord,52.38150092518048,4.916137875513465,Oedipus Taproom,52.38379167949522,4.920987152826776,Brewery
Noord,52.38150092518048,4.916137875513465,The Beef Chief,52.383787,4.921126,Burger Joint
Noord,52.38150092518048,4.916137875513465,Muziekgebouw,52.37820672335676,4.912884838775337,Concert Hall
Noord,52.38150092518048,4.916137875513465,Bimhuis,52.37792328068903,4.912909474308025,Jazz Club
Noord,52.38150092518048,4.916137875513465,Ipo's Coffee Gallery,52.377475251588365,4.915909929896111,Coffee Shop
Noord,52.38150092518048,4.916137875513465,Changing Life,52.38323485411058,4.921401291194865,Gymnastics Gym
Noord,52.38150092518048,4.916137875513465,Hotel Jakarta,52.37932886407255,4.922324526236797,Hotel
Noord,52.38150092518048,4.916137875513465,Café Jakarta,52.379191,4.922455,Café
Noord,52.38150092518048,4.916137875513465,Mövenpick Hotel Amsterdam City Centre,52.37801,4.91364,Hotel
Noord,52.38150092518048,4.916137875513465,Zouthaven,52.37830655632949,4.912592286515876,Bar
Noord,52.38150092518048,4.916137875513465,Malabar,52.37927,4.922035,Cocktail Bar
Noord,52.38150092518048,4.916137875513465,Affordable Art Fair,52.3826674942854,4.920740608744165,Art Gallery
Noord,52.38150092518048,4.916137875513465,Mövenpick Hotel - Executive Lounge,52.37768025412697,4.9141586409394185,Lounge
